channel   H                   channel   C                   channel   N                   channel   O                   channel   Si                  channel   Ti                  channel   Co                  channel   Cu                  
-190      0                   -190      0                   -190      0                   -190      0                   -190      0                   -190      0                   -190      0                   -190      0                   
-170      0                   -170      0                   -170      0                   -170      0                   -170      0                   -170      0                   -170      0                   -170      0                   
-150      0                   -150      0                   -150      0                   -150      0                   -150      0                   -150      0                   -150      0                   -150      0                   
-130      0                   -130      0                   -130      0                   -130      0                   -130      0                   -130      0                   -130      0                   -130      0                   
-110      0.00207417          -110      0                   -110      0                   -110      0                   -110      0                   -110      0                   -110      0                   -110      0                   
-90       0.00412544          -90       0                   -90       0                   -90       0                   -90       0                   -90       0                   -90       0                   -90       0                   
-70       0.00102857          -70       0                   -70       0                   -70       0                   -70       0                   -70       0                   -70       0                   -70       0                   
-50       0.0102506           -50       0.00099954          -50       0                   -50       0                   -50       0                   -50       0                   -50       0                   -50       0                   
-30       0.00715199          -30       0.00099954          -30       0                   -30       0                   -30       0                   -30       0                   -30       0                   -30       0                   
-10       0.0101724           -10       0.00299862          -10       0                   -10       0.00183108          -10       0                   -10       0                   -10       0.0015511           -10       0                   
10        0.0141569           10        0.00597353          10        0                   10        0.0100336           10        0                   10        0                   10        0.0221557           10        0                   
30        0.0220177           30        0.0089133           30        0.00474406          30        0.0163374           30        0                   30        0                   30        0.0512211           30        0                   
50        0.0664209           50        0.114222            50        0.0160164           50        0.0270722           50        0                   50        0                   50        0.0713295           50        0                   
70        0.138711            70        0.402563            70        0.0159329           70        0.086115            70        0                   70        0                   70        0.140388            70        0                   
90        0.240535            90        0.676153            90        0.0512562           90        0.179339            90        0                   90        0                   90        0.235302            90        0                   
110       0.229788            110       0.497802            110       0.0861173           110       0.30417             110       0                   110       0                   110       0.315044            110       0                   
130       0.19401             130       0.257982            130       0.12424             130       0.374491            130       0                   130       0                   130       0.370802            130       0                   
150       0.112634            150       0.125245            150       0.154547            150       0.442961            150       0                   150       0                   150       0.360907            150       0                   
170       0.0776049           170       0.0693356           170       0.144399            170       0.425241            170       0                   170       0                   170       0.360918            170       0                   
190       0.0805081           190       0.0405453           190       0.173147            190       0.407733            190       0                   190       0                   190       0.371687            190       0                   
210       0.0805264           210       0.0337163           210       0.181895            210       0.379986            210       0                   210       0                   210       0.374027            210       0                   
230       0.0768954           230       0.0390489           230       0.191334            230       0.409076            230       0                   230       0                   230       0.350759            230       0                   
250       0.0735096           250       0.0295522           250       0.200668            250       0.375755            250       0                   250       0                   250       0.357512            250       0                   
270       0.0716932           270       0.02477             270       0.184417            270       0.391758            270       0                   270       0                   270       0.310488            270       0                   
290       0.0604883           290       0.0255034           290       0.211908            290       0.381564            290       0                   290       0                   290       0.33805             290       0                   
310       0.0649515           310       0.02807             310       0.214791            310       0.412113            310       0                   310       0                   310       0.324053            310       0                   
330       0.0745593           330       0.0233581           330       0.207293            330       0.381228            330       0                   330       0                   330       0.29716             330       0.0552145           
350       0.0754048           350       0.024099            350       0.195535            350       0.385017            350       0                   350       0                   350       0.253915            350       0.195101            
370       0.0702635           370       0.0150644           370       0.19155             370       0.366834            370       0                   370       0                   370       0.264015            370       0.274535            
390       0.0770079           390       0.0219821           390       0.194299            390       0.361642            390       0                   390       0                   390       0.227426            390       0.293123            
